,NOC,Sport,Year,Gold,Silver,Bronze,Total
1510,DEN,Handball,2016,14,0,0,14
1511,DEN,Badminton,2016,0,2,1,3
1512,DEN,Sailing,2020,1,0,0,1
1513,DEN,Rowing,2020,0,0,2,2
1514,DEN,Swimming,2020,0,0,1,1
1515,DEN,Shooting,2020,0,1,0,1
1516,DEN,Canoe Sprint,2020,0,0,2,2
1517,DEN,Cycling Track,2020,2,8,0,10
1518,DEN,Handball,2020,0,15,0,15
1519,DEN,Badminton,2020,1,0,0,1
1520,DEN,Taekwondo,2024,0,0,1,1
1521,DEN,Sailing,2024,0,1,0,1
1522,DEN,Wrestling,2024,0,0,1,1
1523,DEN,Canoe Sprint,2024,0,0,1,1
1524,DEN,Cycling Track,2024,0,0,1,1
1525,DEN,Equestrian,2024,0,4,0,4
1526,DEN,Handball,2024,16,0,15,31
1527,DEN,Badminton,2024,1,0,0,1
1528,DJI,Athletics,1988,0,0,1,1
1529,DMA,Athletics,2024,1,0,0,1
1530,DOM,Boxing,1984,0,0,1,1
1531,DOM,Athletics,2004,1,0,0,1
1532,DOM,Taekwondo,2008,0,1,0,1
1533,DOM,Boxing,2008,1,0,0,1
1534,DOM,Athletics,2012,1,1,0,2
1535,DOM,Taekwondo,2016,0,0,1,1
1536,DOM,Weightlifting,2020,0,1,1,2
1537,DOM,Athletics,2020,0,6,0,6
1538,DOM,Baseball/Softball,2020,0,0,24,24
1539,DOM,Boxing,2024,0,0,2,2
1540,DOM,Athletics,2024,1,0,0,1
1541,ECU,Athletics,1996,1,0,0,1
1542,ECU,Athletics,2008,0,1,0,1
1543,ECU,Weightlifting,2020,1,1,0,2
1544,ECU,Cycling Road,2020,1,0,0,1
1545,ECU,Weightlifting,2024,0,0,2,2
1546,ECU,Wrestling,2024,0,1,0,1
1547,ECU,Athletics,2024,1,2,0,3
1548,EGY,Weightlifting,1928,1,0,0,1
1549,EGY,Wrestling,1928,1,0,0,1
1550,EGY,Diving,1928,0,1,1,2
1551,EGY,Weightlifting,1936,2,1,2,5
1552,EGY,Weightlifting,1948,2,1,0,3
1553,EGY,Wrestling,1948,0,1,1,2
1554,EGY,Wrestling,1952,0,0,1,1
1555,EGY,Judo,1984,0,1,0,1
1556,EGY,Taekwondo,2004,0,0,1,1
1557,EGY,Wrestling,2004,1,0,0,1
1558,EGY,Boxing,2004,0,1,2,3
1559,EGY,Judo,2008,0,0,1,1
1560,EGY,Wrestling,2012,0,1,0,1
1561,EGY,Fencing,2012,0,1,0,1
1562,EGY,Taekwondo,2016,0,0,1,1
1563,EGY,Weightlifting,2016,0,0,2,2
1564,EGY,Taekwondo,2020,0,0,2,2
1565,EGY,Wrestling,2020,0,0,1,1
1566,EGY,Modern Pentathlon,2020,0,1,0,1
1567,EGY,Karate,2020,1,0,1,2
1568,EGY,Weightlifting,2024,0,1,0,1
1569,EGY,Fencing,2024,0,0,1,1
1570,EGY,Modern Pentathlon,2024,1,0,0,1
1571,EOR,Boxing,2024,0,0,1,1
1572,ERI,Athletics,2004,0,0,1,1
1573,ESP,Basque Pelota,1900,2,0,0,2
1574,ESP,Polo,1920,0,5,0,5
1575,ESP,Football,1920,0,18,0,18
1576,ESP,Equestrianism,1928,3,0,0,3
1577,ESP,Sailing,1932,0,0,1,1
1578,ESP,Equestrianism,1948,0,3,0,3
1579,ESP,Shooting,1952,0,1,0,1
1580,ESP,Hockey,1960,0,0,14,14
1581,ESP,Boxing,1972,0,0,1,1
1582,ESP,Sailing,1976,0,2,0,2
1583,ESP,Canoeing,1976,0,4,0,4
1584,ESP,Sailing,1980,2,0,0,2
1585,ESP,Athletics,1980,0,1,0,1
1586,ESP,Swimming,1980,0,0,1,1
1587,ESP,Hockey,1980,0,16,0,16
1588,ESP,Canoeing,1980,0,2,2,4
1589,ESP,Sailing,1984,2,0,0,2
1590,ESP,Rowing,1984,0,2,0,2
1591,ESP,Athletics,1984,0,0,1,1
1592,ESP,Basketball,1984,0,12,0,12
1593,ESP,Canoeing,1984,0,0,2,2
1594,ESP,Sailing,1988,1,0,0,1
1595,ESP,Tennis,1988,0,2,0,2
1596,ESP,Swimming,1988,0,0,1,1
1597,ESP,Shooting,1988,0,0,1,1
1598,ESP,Sailing,1992,7,1,0,8
1599,ESP,Tennis,1992,0,3,1,4
1600,ESP,Boxing,1992,0,1,0,1
1601,ESP,Athletics,1992,2,1,1,4
1602,ESP,Judo,1992,2,0,0,2
1603,ESP,Swimming,1992,1,0,0,1
1604,ESP,Football,1992,17,0,0,17
1605,ESP,Hockey,1992,15,0,0,15
1606,ESP,Cycling,1992,1,0,0,1
1607,ESP,Archery,1992,3,0,0,3
1608,ESP,Water Polo,1992,0,12,0,12
1609,ESP,Rhythmic Gymnastics,1992,0,1,0,1
1610,ESP,Sailing,1996,4,0,0,4
1611,ESP,Tennis,1996,0,2,2,4
1612,ESP,Boxing,1996,0,0,1,1
1613,ESP,Athletics,1996,0,1,1,2
1614,ESP,Judo,1996,0,1,2,3
1615,ESP,Hockey,1996,0,16,0,16
1616,ESP,Cycling,1996,1,1,0,2
1617,ESP,Water Polo,1996,12,0,0,12
1618,ESP,Handball,1996,0,0,16,16
1619,ESP,Rhythmic Gymnastics,1996,6,0,0,6
1620,ESP,Taekwondo,2000,0,1,0,1
1621,ESP,Tennis,2000,0,0,2,2
1622,ESP,Boxing,2000,0,1,0,1
1623,ESP,Athletics,2000,0,0,1,1
1624,ESP,Judo,2000,1,0,0,1
1625,ESP,Swimming,2000,0,0,1,1
1626,ESP,Football,2000,0,17,0,17
1627,ESP,Cycling,2000,1,0,1,2
1628,ESP,Gymnastics,2000,1,0,0,1
1629,ESP,Handball,2000,0,0,15,15
1630,ESP,Sailing,2004,2,3,0,5
1631,ESP,Tennis,2004,0,2,0,2
1632,ESP,Athletics,2004,0,1,2,3
1633,ESP,Shooting,2004,0,1,0,1
1634,ESP,Equestrianism,2004,0,4,1,5
1635,ESP,Cycling,2004,0,3,5,8
1636,ESP,Canoeing,2004,1,1,0,2
1637,ESP,Beach Volleyball,2004,0,2,0,2
1638,ESP,Gymnastics,2004,1,0,1,2
1639,ESP,Sailing,2008,2,2,0,4
1640,ESP,Tennis,2008,1,2,0,3
1641,ESP,Fencing,2008,0,0,1,1
1642,ESP,Hockey,2008,0,16,0,16
1643,ESP,Basketball,2008,0,12,0,12
1644,ESP,Cycling,2008,2,2,1,5
1645,ESP,Canoeing,2008,2,2,0,4
1646,ESP,Gymnastics,2008,0,1,0,1
1647,ESP,Handball,2008,0,0,14,14
1648,ESP,Synchronized Swimming,2008,0,10,0,10
1649,ESP,Taekwondo,2012,1,2,0,3
1650,ESP,Sailing,2012,4,0,0,4
1651,ESP,Wrestling,2012,0,0,1,1
1652,ESP,Swimming,2012,0,2,0,2
1653,ESP,Basketball,2012,0,12,0,12
1654,ESP,Canoeing,2012,0,2,1,3
1655,ESP,Triathlon,2012,0,1,0,1
1656,ESP,Water Polo,2012,0,12,0,12
1657,ESP,Handball,2012,0,0,15,15
1658,ESP,Synchronized Swimming,2012,0,2,8,10
1659,ESP,Taekwondo,2016,0,1,1,2
1660,ESP,Tennis,2016,2,0,0,2
1661,ESP,Weightlifting,2016,0,0,1,1
1662,ESP,Athletics,2016,1,1,0,2
1663,ESP,Swimming,2016,1,0,1,2
1664,ESP,Basketball,2016,0,12,12,24
1665,ESP,Cycling,2016,0,0,1,1
1666,ESP,Canoeing,2016,4,0,1,5
1667,ESP,Rhythmic Gymnastics,2016,0,5,0,5
1668,ESP,Badminton,2016,1,0,0,1
1669,ESP,Taekwondo,2020,0,1,0,1
1670,ESP,Sailing,2020,0,0,3,3
1671,ESP,Tennis,2020,0,0,1,1
1672,ESP,Athletics,2020,0,0,1,1
1673,ESP,Artistic Gymnastics,2020,0,1,0,1
1674,ESP,Football,2020,0,22,0,22
1675,ESP,Shooting,2020,2,0,0,2
1676,ESP,Water Polo,2020,0,13,0,13
1677,ESP,Canoe Slalom,2020,0,1,0,1
1678,ESP,Canoe Sprint,2020,0,5,0,5
1679,ESP,Handball,2020,0,0,16,16
1680,ESP,Karate,2020,1,1,0,2
1681,ESP,Sport Climbing,2020,1,0,0,1
1682,ESP,Cycling Mountain Bike,2020,0,0,1,1
1683,ESP,Sailing,2024,2,0,0,2
1684,ESP,Tennis,2024,0,1,2,3
1685,ESP,Boxing,2024,0,1,1,2
1686,ESP,Athletics,2024,3,1,1,5
1687,ESP,Judo,2024,0,0,1,1
1688,ESP,Football,2024,22,0,0,22
1689,ESP,Water Polo,2024,13,0,0,13
1690,ESP,Canoe Slalom,2024,0,0,1,1
1691,ESP,Canoe Sprint,2024,0,0,6,6
1692,ESP,Handball,2024,0,0,15,15
1693,ESP,3x3 Basketball,2024,0,4,0,4
1694,ESP,Artistic Swimming,2024,0,0,9,9
1695,EST,Weightlifting,1920,1,1,0,2
1696,EST,Athletics,1920,0,1,0,1
1697,EST,Weightlifting,1924,0,1,2,3
1698,EST,Wrestling,1924,1,0,1,2
1699,EST,Athletics,1924,0,0,1,1
1700,EST,Sailing,1928,0,0,5,5
1701,EST,Weightlifting,1928,0,1,0,1
1702,EST,Wrestling,1928,2,0,1,3
1703,EST,Weightlifting,1936,0,0,1,1
1704,EST,Wrestling,1936,2,1,2,5
1705,EST,Boxing,1936,0,1,0,1
1706,EST,Sailing,1992,0,0,2,2
1707,EST,Cycling,1992,1,0,0,1
1708,EST,Athletics,2000,1,0,0,1
1709,EST,Judo,2000,0,0,2,2
1710,EST,Rowing,2004,0,1,0,1
1711,EST,Athletics,2004,0,0,1,1
1712,EST,Judo,2004,0,0,1,1
1713,EST,Rowing,2008,0,2,0,2
1714,EST,Athletics,2008,1,0,0,1
1715,EST,Wrestling,2012,0,1,0,1
1716,EST,Athletics,2012,0,0,1,1
1717,EST,Rowing,2016,0,0,4,4
1718,EST,Fencing,2020,4,0,1,5
1719,ETH,Athletics,1960,1,0,0,1
1720,ETH,Athletics,1964,1,0,0,1
1721,ETH,Athletics,1968,1,1,0,2
1722,ETH,Athletics,1972,0,0,2,2
1723,ETH,Athletics,1980,2,0,2,4
1724,ETH,Athletics,1992,1,0,2,3
1725,ETH,Athletics,1996,2,0,1,3
1726,ETH,Athletics,2000,4,1,3,8
1727,ETH,Athletics,2004,2,3,2,7
1728,ETH,Athletics,2008,4,1,2,7
1729,ETH,Athletics,2012,3,1,3,7
1730,ETH,Athletics,2016,1,2,5,8
1731,ETH,Athletics,2020,1,1,2,4
1732,ETH,Athletics,2024,1,3,0,4
1733,EUN,Rowing,1992,0,0,4,4
1734,EUN,Tennis,1992,0,0,3,3
1735,EUN,Weightlifting,1992,5,4,0,9
1736,EUN,Wrestling,1992,6,5,5,16
1737,EUN,Boxing,1992,0,1,1,2
1738,EUN,Athletics,1992,12,14,3,29
1739,EUN,Judo,1992,2,0,2,4
1740,EUN,Swimming,1992,11,14,5,30
1741,EUN,Fencing,1992,5,2,6,13
1742,EUN,Shooting,1992,5,2,1,8
1743,EUN,Volleyball,1992,0,8,0,8
1744,EUN,Basketball,1992,12,0,0,12
1745,EUN,Diving,1992,0,2,1,3
1746,EUN,Canoeing,1992,2,1,0,3
1747,EUN,Archery,1992,0,0,4,4
1748,EUN,Water Polo,1992,0,0,13,13
1749,EUN,Modern Pentathlon,1992,0,3,1,4
1750,EUN,Gymnastics,1992,19,5,4,28
1751,EUN,Handball,1992,12,0,13,25
1752,EUN,Rhythmic Gymnastics,1992,1,0,1,2
1753,FIJ,Rugby Sevens,2016,13,0,0,13
1754,FIJ,Rugby Sevens,2020,13,0,13,26
1755,FIJ,Rugby Sevens,2024,0,14,0,14
1756,FIN,Wrestling,1906,1,1,0,2
1757,FIN,Athletics,1906,1,0,1,2
1758,FIN,Wrestling,1908,1,1,1,3
1759,FIN,Athletics,1908,0,0,1,1
1760,FIN,Gymnastics,1908,0,0,26,26
1761,FIN,Sailing,1912,0,7,12,19
1762,FIN,Wrestling,1912,3,2,2,7
1763,FIN,Athletics,1912,6,11,3,20
1764,FIN,Shooting,1912,0,0,5,5
1765,FIN,Gymnastics,1912,0,20,0,20
1766,FIN,Wrestling,1920,5,5,2,12
1767,FIN,Athletics,1920,14,4,3,21
1768,FIN,Swimming,1920,0,0,2,2
1769,FIN,Shooting,1920,0,5,10,15
1770,FIN,Figure Skating,1920,2,0,0,2
1771,FIN,Sailing,1924,0,0,1,1
1772,FIN,Wrestling,1924,4,7,5,16
1773,FIN,Athletics,1924,20,5,2,27
1774,FIN,Shooting,1924,0,1,7,8
1775,FIN,Sailing,1928,0,0,1,1
1776,FIN,Wrestling,1928,3,3,3,9
1777,FIN,Athletics,1928,5,5,4,14
1778,FIN,Gymnastics,1928,0,0,1,1
1779,FIN,Wrestling,1932,2,3,3,8
1780,FIN,Boxing,1932,0,0,1,1
1781,FIN,Athletics,1932,3,4,4,11
1782,FIN,Gymnastics,1932,0,1,8,9
1783,FIN,Wrestling,1936,2,1,3,6
1784,FIN,Boxing,1936,1,0,0,1
1785,FIN,Athletics,1936,3,5,2,10
1786,FIN,Gymnastics,1936,1,0,8,9
1787,FIN,Art Competitions,1936,1,0,0,1
1788,FIN,Wrestling,1948,1,1,1,3
1789,FIN,Athletics,1948,1,2,0,3
1790,FIN,Shooting,1948,0,1,0,1
1791,FIN,Canoeing,1948,0,1,4,5
1792,FIN,Gymnastics,1948,13,2,2,17
1793,FIN,Art Competitions,1948,2,1,1,4
1794,FIN,Sailing,1952,0,0,5,5
1795,FIN,Rowing,1952,0,0,4,4
1796,FIN,Wrestling,1952,1,1,2,4
1797,FIN,Boxing,1952,1,0,4,5
1798,FIN,Athletics,1952,0,0,1,1
1799,FIN,Shooting,1952,0,1,1,2
1800,FIN,Canoeing,1952,6,1,1,8
1801,FIN,Modern Pentathlon,1952,0,0,3,3
1802,FIN,Gymnastics,1952,0,0,8,8
1803,FIN,Rowing,1956,0,0,5,5
1804,FIN,Wrestling,1956,2,0,2,4
1805,FIN,Boxing,1956,0,0,1,1
1806,FIN,Athletics,1956,0,0,3,3
1807,FIN,Shooting,1956,1,0,1,2
1808,FIN,Modern Pentathlon,1956,0,1,4,5
1809,FIN,Gymnastics,1956,0,0,6,6
1810,FIN,Rowing,1960,0,0,2,2
1811,FIN,Boxing,1960,0,0,1,1
1812,FIN,Athletics,1960,0,0,1,1
1813,FIN,Shooting,1960,0,1,0,1
1814,FIN,Gymnastics,1960,1,0,0,1
1815,FIN,Boxing,1964,0,0,1,1
1816,FIN,Athletics,1964,1,0,0,1
1817,FIN,Shooting,1964,2,0,0,2
1818,FIN,Gymnastics,1964,0,0,1,1
1819,FIN,Weightlifting,1968,1,0,0,1
1820,FIN,Boxing,1968,0,0,1,1
1821,FIN,Athletics,1968,0,1,0,1
1822,FIN,Gymnastics,1968,0,1,0,1
1823,FIN,Wrestling,1972,0,0,1,1
1824,FIN,Boxing,1972,0,1,0,1
1825,FIN,Athletics,1972,3,0,1,4
1826,FIN,Archery,1972,0,0,1,1
1827,FIN,Modern Pentathlon,1972,0,0,3,3
1828,FIN,Rowing,1976,1,0,0,1
1829,FIN,Wrestling,1976,1,0,0,1
1830,FIN,Athletics,1976,2,2,0,4
1831,FIN,Sailing,1980,1,0,2,3
1832,FIN,Rowing,1980,1,0,0,1
1833,FIN,Wrestling,1980,0,0,1,1
1834,FIN,Athletics,1980,0,1,1,2
1835,FIN,Archery,1980,1,0,1,2
1836,FIN,Rowing,1984,1,0,0,1
1837,FIN,Weightlifting,1984,0,0,2,2
1838,FIN,Wrestling,1984,1,1,1,3
1839,FIN,Boxing,1984,0,0,1,1
1840,FIN,Athletics,1984,2,1,1,4
1841,FIN,Shooting,1984,0,0,1,1
1842,FIN,Wrestling,1988,0,1,1,2
1843,FIN,Athletics,1988,1,0,1,2
1844,FIN,Boxing,1992,0,0,1,1
1845,FIN,Athletics,1992,0,1,0,1
1846,FIN,Swimming,1992,0,0,1,1
1847,FIN,Canoeing,1992,1,0,0,1
1848,FIN,Archery,1992,0,3,0,3
1849,FIN,Wrestling,1996,0,1,0,1
1850,FIN,Athletics,1996,1,0,1,2
1851,FIN,Swimming,1996,0,1,0,1
1852,FIN,Sailing,2000,2,0,0,2
1853,FIN,Wrestling,2000,0,0,1,1
1854,FIN,Athletics,2000,1,0,0,1
1855,FIN,Shooting,2000,0,1,0,1
1856,FIN,Wrestling,2004,0,1,0,1
1857,FIN,Shooting,2004,0,1,0,1
1858,FIN,Rowing,2008,0,2,0,2
1859,FIN,Athletics,2008,0,0,1,1
1860,FIN,Shooting,2008,1,0,1,2
1861,FIN,Sailing,2012,0,1,3,4
1862,FIN,Athletics,2012,0,0,1,1
1863,FIN,Boxing,2016,0,0,1,1
1864,FIN,Boxing,2020,0,0,1,1
1865,FIN,Swimming,2020,0,0,1,1
1866,FRA,Athletics,1896,0,1,1,2
1867,FRA,Fencing,1896,1,2,0,3
1868,FRA,Cycling,1896,4,1,1,6
1869,FRA,Sailing,1900,10,33,29,72
1870,FRA,Rowing,1900,6,7,3,16
1871,FRA,Tennis,1900,0,3,2,5
1872,FRA,Athletics,1900,0,8,2,10
1873,FRA,Rugby,1900,15,0,0,15
1874,FRA,Swimming,1900,1,6,5,12
1875,FRA,Polo,1900,0,1,3,4
1876,FRA,Fencing,1900,5,5,5,15
1877,FRA,Football,1900,0,13,0,13
1878,FRA,Shooting,1900,2,6,6,14
1879,FRA,Equestrianism,1900,2,2,4,8
1880,FRA,Cycling,1900,2,1,2,5
1881,FRA,Archery,1900,4,5,4,13
1882,FRA,Water Polo,1900,0,0,14,14
1883,FRA,Gymnastics,1900,1,1,1,3
1884,FRA,Tug-Of-War,1900,0,5,0,5
1885,FRA,Cricket,1900,0,3,0,3
1886,FRA,Croquet,1900,4,2,2,8
1887,FRA,Athletics,1904,0,2,0,2
1888,FRA,Rowing,1906,1,6,11,18
1889,FRA,Tennis,1906,5,1,0,6
1890,FRA,Weightlifting,1906,0,0,1,1
1891,FRA,Athletics,1906,1,0,0,1
1892,FRA,Fencing,1906,6,1,1,8
1893,FRA,Football,1906,0,3,0,3
1894,FRA,Shooting,1906,4,3,9,16
1895,FRA,Cycling,1906,1,2,4,7
1896,FRA,Gymnastics,1906,2,0,2,4
1897,FRA,Sailing,1908,0,0,3,3
1898,FRA,Athletics,1908,0,1,5,6
1899,FRA,Fencing,1908,8,1,1,10
1900,FRA,Shooting,1908,0,0,10,10
1901,FRA,Cycling,1908,2,2,2,6
1902,FRA,Archery,1908,1,1,1,3
1903,FRA,Gymnastics,1908,0,0,1,1
1904,FRA,Motorboating,1908,1,0,0,1
1905,FRA,Sailing,1912,3,0,0,3
1906,FRA,Tennis,1912,4,0,4,8
1907,FRA,Athletics,1912,0,5,0,5
1908,FRA,Shooting,1912,2,0,0,2
1909,FRA,Equestrianism,1912,1,4,1,6
1910,FRA,Gymnastics,1912,0,1,0,1
1911,FRA,Art Competitions,1912,0,1,0,1
1912,FRA,Sailing,1920,0,3,0,3
1913,FRA,Rowing,1920,0,3,2,5
1914,FRA,Tennis,1920,3,0,4,7
1915,FRA,Weightlifting,1920,2,0,1,3
1916,FRA,Boxing,1920,1,1,1,3
1917,FRA,Athletics,1920,1,5,4,10
1918,FRA,Rugby,1920,0,15,0,15
1919,FRA,Fencing,1920,1,14,9,24
1920,FRA,Shooting,1920,0,6,0,6
1921,FRA,Equestrianism,1920,0,4,0,4
1922,FRA,Cycling,1920,4,0,1,5
1923,FRA,Archery,1920,1,18,8,27
1924,FRA,Gymnastics,1920,0,1,27,28
1925,FRA,Art Competitions,1920,0,1,0,1
1926,FRA,Sailing,1924,0,0,5,5
1927,FRA,Rowing,1924,0,9,0,9
1928,FRA,Tennis,1924,0,4,2,6
1929,FRA,Weightlifting,1924,2,0,0,2
1930,FRA,Wrestling,1924,1,0,0,1
1931,FRA,Boxing,1924,0,0,1,1
1932,FRA,Athletics,1924,0,0,8,8
1933,FRA,Rugby,1924,0,19,0,19
1934,FRA,Fencing,1924,16,3,0,19
1935,FRA,Shooting,1924,1,5,0,6
1936,FRA,Equestrianism,1924,0,0,1,1
1937,FRA,Cycling,1924,8,0,2,10
1938,FRA,Water Polo,1924,7,0,0,7
1939,FRA,Gymnastics,1924,1,11,1,13
1940,FRA,Art Competitions,1924,1,0,2,3
1941,FRA,Sailing,1928,6,0,0,6
1942,FRA,Rowing,1928,0,3,0,3
1943,FRA,Weightlifting,1928,1,1,1,3
1944,FRA,Wrestling,1928,0,1,2,3
1945,FRA,Boxing,1928,0,1,0,1
1946,FRA,Athletics,1928,1,1,1,3
1947,FRA,Fencing,1928,2,13,0,15
1948,FRA,Equestrianism,1928,0,2,0,2
1949,FRA,Cycling,1928,1,0,0,1
1950,FRA,Water Polo,1928,0,0,9,9
1951,FRA,Art Competitions,1928,1,2,1,4
1952,FRA,Sailing,1932,1,0,0,1
1953,FRA,Rowing,1932,0,0,3,3
1954,FRA,Weightlifting,1932,3,0,0,3
1955,FRA,Wrestling,1932,1,0,1,2
1956,FRA,Athletics,1932,0,0,1,1
1957,FRA,Swimming,1932,0,1,0,1
1958,FRA,Fencing,1932,12,1,0,13
1959,FRA,Equestrianism,1932,4,1,0,5
1960,FRA,Cycling,1932,2,5,1,8
1961,FRA,Art Competitions,1932,3,0,0,3
1962,FRA,Rowing,1936,0,0,8,8
1963,FRA,Weightlifting,1936,1,0,0,1
1964,FRA,Wrestling,1936,1,0,0,1
1965,FRA,Boxing,1936,2,0,0,2
1966,FRA,Fencing,1936,0,7,6,13
1967,FRA,Shooting,1936,0,0,1,1
1968,FRA,Equestrianism,1936,0,3,0,3
1969,FRA,Cycling,1936,9,2,3,14
1970,FRA,Canoeing,1936,0,1,0,1
1971,FRA,Wrestling,1948,0,0,1,1
1972,FRA,Athletics,1948,2,6,3,11
1973,FRA,Swimming,1948,0,0,5,5
1974,FRA,Fencing,1948,13,1,0,14
1975,FRA,Equestrianism,1948,4,1,1,6
1976,FRA,Basketball,1948,0,14,0,14
1977,FRA,Cycling,1948,6,0,6,12
1978,FRA,Canoeing,1948,0,0,6,6
1979,FRA,Art Competitions,1948,1,0,2,3
1980,FRA,Rowing,1952,3,4,0,7
1981,FRA,Boxing,1952,0,0,1,1
1982,FRA,Athletics,1952,0,2,0,2
1983,FRA,Swimming,1952,1,1,4,6
1984,FRA,Fencing,1952,7,0,6,13
1985,FRA,Equestrianism,1952,1,1,1,3
1986,FRA,Cycling,1952,0,0,4,4
1987,FRA,Diving,1952,0,1,0,1
1988,FRA,Canoeing,1952,2,0,1,3
1989,FRA,Rowing,1956,0,0,4,4
1990,FRA,Weightlifting,1956,0,0,1,1
1991,FRA,Boxing,1956,0,0,2,2
1992,FRA,Athletics,1956,1,0,0,1
1993,FRA,Fencing,1956,1,6,6,13
1994,FRA,Cycling,1956,5,5,0,10
1995,FRA,Canoeing,1956,0,2,0,2
1996,FRA,Rowing,1960,0,5,0,5
1997,FRA,Wrestling,1960,0,0,1,1
1998,FRA,Athletics,1960,0,1,1,2
1999,FRA,Equestrianism,1960,0,0,4,4
2000,FRA,Rowing,1964,0,3,0,3
2001,FRA,Boxing,1964,0,1,0,1
2002,FRA,Athletics,1964,0,1,4,5
2003,FRA,Swimming,1964,0,1,0,1
2004,FRA,Fencing,1964,0,2,11,13
2005,FRA,Equestrianism,1964,1,3,0,4
2006,FRA,Cycling,1964,0,0,2,2
2007,FRA,Canoeing,1964,0,2,0,2
2008,FRA,Wrestling,1968,0,2,0,2
2009,FRA,Athletics,1968,1,0,4,5
2010,FRA,Swimming,1968,0,0,1,1
2011,FRA,Fencing,1968,5,0,1,6
2012,FRA,Equestrianism,1968,1,3,0,4
2013,FRA,Cycling,1968,5,0,1,6
2014,FRA,Modern Pentathlon,1968,0,0,3,3
2015,FRA,Sailing,1972,1,2,0,3
2016,FRA,Athletics,1972,0,1,4,5
2017,FRA,Judo,1972,0,0,3,3
2018,FRA,Fencing,1972,0,1,6,7
2019,FRA,Shooting,1972,0,1,0,1
2020,FRA,Cycling,1972,1,0,0,1
2021,FRA,Canoeing,1972,0,0,2,2
2022,FRA,Weightlifting,1976,0,1,0,1
2023,FRA,Athletics,1976,1,0,0,1
2024,FRA,Judo,1976,0,0,1,1
2025,FRA,Fencing,1976,0,5,6,11
2026,FRA,Equestrianism,1976,4,0,0,4
2027,FRA,Cycling,1976,0,1,0,1
2028,FRA,Gymnastics,1976,0,0,1,1
2029,FRA,Athletics,1980,0,0,4,4
2030,FRA,Judo,1980,2,1,1,4
2031,FRA,Fencing,1980,16,1,1,18
2032,FRA,Cycling,1980,0,2,0,2
2033,FRA,Canoeing,1980,0,1,0,1
2034,FRA,Sailing,1984,0,0,2,2
2035,FRA,Boxing,1984,0,0,1,1
2036,FRA,Athletics,1984,1,1,2,4
2037,FRA,Judo,1984,0,1,2,3
2038,FRA,Swimming,1984,0,1,1,2
2039,FRA,Fencing,1984,2,10,11,23
2040,FRA,Football,1984,16,0,0,16
2041,FRA,Shooting,1984,1,1,0,2
2042,FRA,Cycling,1984,0,0,1,1
2043,FRA,Canoeing,1984,0,2,7,9
2044,FRA,Modern Pentathlon,1984,0,0,3,3
2045,FRA,Gymnastics,1984,0,0,1,1
2046,FRA,Sailing,1988,4,0,0,4
2047,FRA,Boxing,1988,0,1,0,1
2048,FRA,Athletics,1988,0,0,4,4
2049,FRA,Judo,1988,1,0,1,2
2050,FRA,Swimming,1988,0,0,2,2
2051,FRA,Fencing,1988,6,1,0,7
2052,FRA,Shooting,1988,0,1,0,1
2053,FRA,Equestrianism,1988,1,1,4,6
2054,FRA,Canoeing,1988,0,0,2,2
2055,FRA,Sailing,1992,3,0,0,3
2056,FRA,Athletics,1992,1,0,0,1
2057,FRA,Judo,1992,2,1,4,7
2058,FRA,Swimming,1992,0,0,3,3
2059,FRA,Fencing,1992,2,0,7,9
2060,FRA,Shooting,1992,0,1,0,1
2061,FRA,Equestrianism,1992,0,0,4,4
2062,FRA,Cycling,1992,0,1,4,5
2063,FRA,Canoeing,1992,0,1,5,6
2064,FRA,Archery,1992,1,0,0,1
2065,FRA,Handball,1992,0,0,16,16
2066,FRA,Table Tennis,1992,0,1,0,1
2067,FRA,Rowing,1996,0,4,6,10
2068,FRA,Wrestling,1996,0,1,0,1
2069,FRA,Athletics,1996,3,0,1,4
2070,FRA,Judo,1996,3,0,3,6
2071,FRA,Fencing,1996,4,2,5,11
2072,FRA,Shooting,1996,1,0,1,2
2073,FRA,Equestrianism,1996,0,0,1,1
2074,FRA,Cycling,1996,8,3,1,12
2075,FRA,Canoeing,1996,2,0,2,4
2076,FRA,Taekwondo,2000,0,0,1,1
2077,FRA,Rowing,2000,6,0,2,8
2078,FRA,Tennis,2000,0,0,1,1
2079,FRA,Boxing,2000,1,0,1,2
2080,FRA,Judo,2000,2,2,2,6
2081,FRA,Swimming,2000,0,1,0,1
2082,FRA,Fencing,2000,4,9,1,14
2083,FRA,Shooting,2000,1,1,0,2
2084,FRA,Basketball,2000,0,12,0,12
2085,FRA,Cycling,2000,7,2,1,10
2086,FRA,Canoeing,2000,1,1,1,3
2087,FRA,Gymnastics,2000,0,2,0,2
2088,FRA,Synchronized Swimming,2000,0,0,2,2
2089,FRA,Table Tennis,2000,0,0,2,2
2090,FRA,Taekwondo,2004,0,1,1,2
2091,FRA,Sailing,2004,1,0,2,3
2092,FRA,Rowing,2004,2,2,0,4
2093,FRA,Tennis,2004,0,1,0,1
2094,FRA,Wrestling,2004,0,0,2,2
2095,FRA,Boxing,2004,0,1,0,1
2096,FRA,Athletics,2004,0,0,5,5
2097,FRA,Judo,2004,0,1,0,1
2098,FRA,Swimming,2004,1,2,3,6
2099,FRA,Fencing,2004,8,1,5,14
2100,FRA,Equestrianism,2004,5,0,0,5
2101,FRA,Cycling,2004,1,1,3,5
